Date,Location,Region,24K,22K,18K,Currency,INR_Equivalent,Exchange_price,,https://www.livepriceofgold.com/Qatar-gold-price.html
02-05-2025,Qatar,Gulf,399.378,366.065,299.46,QAR,8576.9,23.43,,
02-05-2025,Kuwait,Gulf,33.5987,30.7926,25.2,KWD,8566.19,278.19,,
02-05-2025,Oman,Gulf,42.1504,38.6439,31.61,OMR,8549.58,221.24,,
02-05-2025,Bahrain,Gulf,41.1805,37.7481,30.9,BHD,8522.01,225.76,,
01-05-2025,Hyderabad,India,9550,8755,7180,INR,0,0,,
01-05-2025,Saudi Arabia,Gulf,410.832,376.683,308.14,SAR,8569.54,22.75,,
01-05-2025,UAE,Gulf,401.989,368.643,301.73,AED,8570.95,23.25,,
01-05-2025,Qatar,Gulf,399.378,366.065,299.46,QAR,8576.9,23.43,,
01-05-2025,Kuwait,Gulf,33.5987,30.7926,25.2,KWD,8566.19,278.19,,
01-05-2025,Oman,Gulf,42.1504,38.6439,31.61,OMR,8549.58,221.24,,
01-05-2025,Bahrain,Gulf,41.1805,37.7481,30.9,BHD,8522.01,225.76,,
30-04-2025,Hyderabad,India,9550,8755,7180,INR,0,0,,
30-04-2025,Saudi Arabia,Gulf,410.832,376.683,308.14,SAR,8569.54,22.75,,
30-04-2025,UAE,Gulf,401.989,368.643,301.73,AED,8570.95,23.25,,
30-04-2025,Qatar,Gulf,399.378,366.065,299.46,QAR,8576.9,23.43,,
30-04-2025,Kuwait,Gulf,33.5987,30.7926,25.2,KWD,8566.19,278.19,,
30-04-2025,Oman,Gulf,42.1504,38.6439,31.61,OMR,8549.58,221.24,,
30-04-2025,Bahrain,Gulf,41.1805,37.7481,30.9,BHD,8522.01,225.76,,
29-04-2025,Hyderabad,India,9550,8755,7180,INR,0,0,,
29-04-2025,Saudi Arabia,Gulf,410.832,376.683,308.14,SAR,8569.54,22.75,,
29-04-2025,UAE,Gulf,401.989,368.643,301.73,AED,8570.95,23.25,,
29-04-2025,Qatar,Gulf,399.378,366.065,299.46,QAR,8576.9,23.43,,
29-04-2025,Kuwait,Gulf,33.5987,30.7926,25.2,KWD,8566.19,278.19,,
29-04-2025,Oman,Gulf,42.1504,38.6439,31.61,OMR,8549.58,221.24,,
29-04-2025,Bahrain,Gulf,41.1805,37.7481,30.9,BHD,8522.01,225.76,,
28-04-2025,Hyderabad,India,9550,8755,7180,INR,0,0,,
28-04-2025,Saudi Arabia,Gulf,410.832,376.683,308.14,SAR,8569.54,22.75,,
28-04-2025,UAE,Gulf,401.989,368.643,301.73,AED,8570.95,23.25,,
28-04-2025,Qatar,Gulf,399.378,366.065,299.46,QAR,8576.9,23.43,,
28-04-2025,Kuwait,Gulf,33.5987,30.7926,25.2,KWD,8566.19,278.19,,
28-04-2025,Oman,Gulf,42.1504,38.6439,31.61,OMR,8549.58,221.24,,
28-04-2025,Bahrain,Gulf,41.1805,37.7481,30.9,BHD,8522.01,225.76,,
